id;Der;ferfi;Die;no;Das;semleges;Ige;verb;Melléknév;adj;Egyéb szófaj;other;Helynevek;place;Hónapok;month;Új;new
78;r Forscher, ~;kutató;e Giraffe, n;zsiráf;s Mikrofon, e;mikrofon;übersetzen;fordítani/lefordítani;mehrere;többféle;jeder / jede / jedes;mindenki;;;;;;
79;r Apotheker, ~;patikus;e Leichtathletik;atlétika;s Fax, e;fax;charakterisieren;jellemezni;wenig;kevés;wirklich;valóban;;;;;;
80;r Gärtner, ~;kertész;e Tochter, ¨-;lány (valakinek);s Kabel, ~;kábel;nennen;hívni/nevezni/megnevezni;genug;elég;selbst;saját maga;;;;;;
81;r Astronaut, en;asztronauta;e Landeskunde, n;országismeret;s Geschenk, e;ajándék;zerstören;elpusztítani;hässlich;csúnya;in Grün;zöldben;;;;;;
82;r Urlaub, e;nyaralás/szabadság;e Bundesland, ¨-er;tartomány;s Gepäck;poggyász;ins Deutsche übersetzen;németre lefordítani;verrückt;őrült;im Moment;pillanatnyilag;;;;;;
83;r Elefant, en;elefánt;e Landeshauptstadt, ¨-e;tartományi főváros;s Geld;pénz;zu Gast sein;vendégeskedni;direkt;közvetlen, direkt;am Wochenende;hétvégénként;;;;;;
84;r Saft, ¨-e;gyümölcslé;e Hauptstadt, ¨-e;főváros;s Glück;szerencse;lachen;nevetni;entfernt;távoli;klassische musik;klasszikus zene;;;;;;
85;r Berg, e;hegy;e Insel, n;sziget;s T-Shirt, s;póló;genießen;élvezni;optimale;optimális / lehető legjobb;an der Universität;az egyetemen;;;;;;
86;r Musiker, ~;(tanult) zenész;e Jahreszeit, en;évszak;s Hemd, en;ing;spazieren;sétálni;pulsierend;lüktető / pulzáló;mehr;több;;;;;;
87;r Musikant, en;zenész;e/s E-Mail, s;e-mail;s Kleid, er;ruha;spazieren gehen;sétálni menni;wunderbar;csodálatos;pro;per (/);;;;;;
88;r Fluss, ¨-e;folyó;e Gruppe, n;csoport;s Interview, s;interjú;auf der Bank sitzen;a padon ülni;gelegen;található / fekvő (hely);nie;soha;;;;;;
89;r Schnee;hó;e Lehrerin, nen;tanárnő;s Kleidungsstück, e;ruha nemű;kosten;kerülni (pénzbe/időbe);lecker;finom;wenigstens;legalább/legkevesebb;;;;;;
90;r Winter, ~;tél;e Mathematik;matematika;s Lieblingskleidungsstück, e;kedvenc ruhadarab;simsen;SMS-ezni;möglich;lehetséges;manchmal;néha;;;;;;
91;r Frühling;tavasz;e Party, s;buli;s Semester, ~;félév;im Internet surfen;internetezni;fleißig;szorgalmas;dazu;ahhoz;;;;;;
92;r Sommer;nyár;e Schwester, n;lánytestvér;s Projekt, e;projekt;auf Kredit kaufen;hitelre vásárolni;ruhig;csendes;einige;néhány;;;;;;
93;r Herbst;ősz;r/e Single, s;egyedülálló nő/férfi;s Badezimmer, ~;fürdőszoba;weinen;sírni;sonnig;napos;einige Klamotten;néhány ruha;;;;;;
94;r Monat;hónap;e Sprache, n;nyelv;s Taschengeld;zsebpénz;schinken;küldeni;hungrig;éhes;ohne + A;vki/vmi nélkül;;;;;;
95;r Schneemann, ¨-er;hóember;e Stunde, n;óra (60 perc), tanóra;s Duschgel, e;tusfürdő;warten;várni;bloß;csupán / csak;für + A;vki/vmi -nak/-nek;;;;;;
96;r Wetterbericht, e;időjárás-jelentés;e Tafel, n;tábla;s Beispiel, e;példa;winken;integetni;endlich;végre / valahára;irgendwo;valahol;;;;;;
97;r Bruder, ¨-;fiútestvér;e Tasche, n;táska;s Zelt, e;sátor;rechnen;számolni;alkoholfrei;alkoholmentes;eigentlich;tulajdonképpen;;;;;;
98;r/e Single, s;egyedülálló nő/férfi;e Umfrage, n;közvéleménykutatás;s Schachspiel, e;sakk;Glück haben;szerencsésnek lenni;vegetarisch;vegetáriánus;morgen;holnap;;;;;;
99;r Stuhl, ¨-e;szék;e Zeitung, en;újság;s Kissen, ~;párna;Besuch haben;"vendéget ""tartani""";salzig;sós;mit + D;vki/vmi -val/-vel;;;;;;
100;r Tisch, e;asztal;e Toilette, n;wc;s Taschenmesser, ~;zsebkés / bicska;Humor haben;humorérzékkel rendelkezni;süß;édes;in + D;vki/vmi -ban/-ben;;;;;;
101;r Zettel, ~;cédula, papírdarab;e Kirche, n;templom;s Fahrrad, ¨-er;bicikli;nehmen;venni;bitter;keserű;tagsüber;napközben / egész nap;;;;;;
102;r Stadtplan, ¨-e;várostérkép;e Apotheke, n;gyógyszertár;s Eck, en;sarok;können;tudni;sauer;savanyú;wider;megint;;;;;;
103;r Bahnhof, ¨-e;pályaudvar;e Post, en;posta;s Einzelzimmer, ~;egyágyas szoba;funktionieren;működni/funkcionálni;getrennt;külön;nahe;közel;;;;;;
104;r Park, s/e/¨-e;park;e U-Bahn, en;metró;s Doppelzimmer, ~;kétágyas szoba;tragen;viselni;scharf;éles / csípős;inklusive;beleértve;;;;;;
105;r Herr, n, en;úr;e Straßenbahn, en;villamos;s Billard, e;biliárd;gefallen;tetszeni;gesund;egészséges;ab + D;vki/vmi -tól/-től;;;;;;
106;r See, n;tó;e Haltestelle, n;megálló;s Billardzimmer, ~;biliárdszalon;mögen;szeretni (nem embert);am liebsten;legszívesebben;gleichfalls;neked is;;;;;;
107;r Wassersport;vízisport;e Bank, en;bank;s Bett, en;ágy;probieren;próbálkozni / megkóstolni;langsam;lassú;abends;este / esténként;;;;;;
108;r Badestrand, ¨-e;fürdő strand;e Orientierung, en;tájékozódás;s Zimmermädchen, ~;szobalány;helfen;segíteni;klassisch;klasszikus;ein bisschen;egy kicsit;;;;;;
109;r Tierpark, s;állatkert;e Nähe;közelség;s Komma, s;vessző;sehen;látni;wienerisch;bécsi;gleich;azonnal;;;;;;
110;r Gellértberg;Gellért-hegy;e Rechnung, en;számla;s Mittlermeer;Földközi-tenger;passen;illeni;bekannt;ismert;lieber;szívesebben / inkább;;;;;;
111;r Heldenplatz;Hősök tere;e Margareteninsel;Margit-sziget;s Schwarzes Meer;Fekete-tenger;geben;adni;echt;valódi;logo;vili / naná;;;;;;
112;r Wald, ¨-er;erdő;e Fischerbastei;Halászbástya;s Frühstück, e;reggeli;unterrichten;tanítani;afrikanisch;afrikai;mittags;délben / ebédidőben;;;;;;
113;r Bodensee;Boden-tó;e Basilika;Bazilika;s Mittagessen, ~;ebéd;einen Sprachkurs machen;egy nyelvtanfolyamon részt venni;chinesisch;kínai;nicht mehr;már nem;;;;;;
114;r Besucher, ~;látogató;e Landstraße, n;országút;s Abendessen, ~;vacsora;sprechen;beszélni;dick;kövér;selten;ritkán;;;;;;
115;r Höhepunkt, e;csúcspont;e Firma, Firmen;vállalat;s Hektar, e;hektár;eine gute Arbeit finden;egy jó munkát találni;fertig;kész;jeden Tag;minden nap;;;;;;
116;r Wintersport;télisport;e Möglichkeit, en;lehetőség;s Grün, s;zöld;importieren;importálni;französisch;francia;viel zu viel;nagyon sok;;;;;;
117;r Karneval, s(/e);karnevál;e Muttersprache, n;anyanyelv;s Ende, n;vég;möchten;szeretni (feltételes mód);frisch;friss;zum Glück;szerencsére;;;;;;
118;r Quadratkilometer, ~;négyzetkilométer;e Fremdsprache, n;idegen nyelv;s Problem, e;probléma;wollen;akarni;griechisch;görög;morgens;reggelente;;;;;;
119;r Leuchtturm, ¨-e;világítótorony;e Mitte, n;közép;s Steak, s;szték;bekommen;kapni;italienisch;olasz;deshalb;ezért / azért;;;;;;
120;r Flughafen, ¨-;repülőtér;e Reformation, en;reformáció;s Kabel-TV, s;kábeltelevízió ;telefonieren;telefonálni;österreischisch;osztrák;im Allgemeinen;általábban;;;;;;
121;r Ungar, n;magyar férfi;e Woche, n;hét;r/s Safe, s;széf;kennen;ismerni;reich;gazdag;;;;;;;;
122;r Wettbewerb, e;verseny;e Börse, n;tőzsde/pénztárca;s Dampfbad, e;gőzfürdő;reichen;nyújtani / elég lenni;satt;jóllakot;;;;;;;;
123;r Burg, en;vár;e Buchmesse, n;könyvvásár;s Solarium, Solarien;szolárium;sparen;spórolni / megtakarítani;schweizerisch;svájci;;;;;;;;
124;r Nebel;köd;e Dynamik, en;dinamika;s Trinken;innivaló;babysitten;babyszittelni;spät;késő(n);;;;;;;;
125;r Preis, e;ár;e Ungarin, nen;magyar nő;s Parken;parkoló / parkolás;arbeiten / jobben;dolgozni;später;később;;;;;;;;
126;r Fernseher, ~;TV;e Ungarn;magyarok;s Lunchpaket, e;ebéd-csomag;meinen;vélni;speziell;különleges;;;;;;;;
127;r Kopfhörer, ~;fejhallgató;e Küste, n;sziklás tengerpart;s Salatbüfett, s;salátabüfé;brauchen;kelleni / szükségesnek lenni;täglich;naponta;;;;;;;;
128;r Monitor, e/en;kijelző;e Ostsee;Balti-tenger;s Babyphon, e;bébimonitor;eine gute Qualität haben;jó minőséggel rendelkezni;türkisch;török;;;;;;;;
129;r Bildschirm, e;képernyő;e Terrasse, n;terasz;s Babybett, en;gyerekágy;schwitzen;izzadni;ungarisch;magyar;;;;;;;;
130;r [Radio]wecker, ~;ébresztőóra;e Brücke, n;híd;s Bargeld;készpénz;zelten;sátorozni;verboten;tilos;;;;;;;;
131;r Akku, s;akkumulátor;e Bank, ¨-e;pad;s Haustier, e;háziállat;packen;csomagolni;;;;;;;;;;
132;r Kredit, e;hitel;e Sehenswürdigkeit, en;látnivaló;s Bioecke, n;biosarok;einpacken;becsomagolni;;;;;;;;;;
133;r Zug, ¨-e;vonat;e Kettenbrücke;Lánchíd;s Lebensmittel, ~;élelmiszer;mitnehmen;magával vinni;;;;;;;;;;
134;r Ball, ¨-e;labda;e Akademie, n;akadémia;s Brot, e;kenyér;einschlafen;elaludni;;;;;;;;;;
135;r Großvater, ¨- / r Opa, s;nagyapa;e Ermäßigung, en;kedvezmény;s Müsli;müzli;leihen;kölcsönözni / kölcsönadni;;;;;;;;;;
136;r Mensch, en;ember;e Hifi-Anlage, n;Hifi torony;s Ei, er;tojás;frühstücken;reggelizni;;;;;;;;;;
137;r Camcorder, ~;videókamera;e Fotofunktion, en;fotó-funkció;s Fleisch;hús;essen;enni;;;;;;;;;;
138;r Sessel, ~;fotel;e Uhr, en;óra (készülék);r/s Joghurt, s;joghurt;schwimmen;úszni;;;;;;;;;;
139;r Balkon, s/e;erkély;e Vergangenheit;múlt;s Eis;jég / fagylalt;Beachvolleyball spielen;strandröplabdázni;;;;;;;;;;
140;r Roboter, ~;robot;e Zukunft;jövő;s Sandwich, (e)s;szendvics;kochen;főzni;;;;;;;;;;
141;r Pullover, ~;pulóver;e Ansichtskarte, n;képeslap;s Brötchen, ~;zsemle;waschen;mosni;;;;;;;;;;
142;r Anzug, ¨-e;öltöny;e Garantie, n;garancia;s Obst;gyümölcs;die Kleidung waschen;kimosni a ruhákat;;;;;;;;;;
143;r Schuh, e;cipő;e Oma, s / e Großmutter, ¨-;nagyanya;s Gemüse;zöldség;Billard spielen;biliárdozni;;;;;;;;;;
144;r Rock, ¨-e;szoknya;e Vermutung, en;sejtés;s Getränk, e;ital;duschen;zuhanyozni;;;;;;;;;;
145;r Hut, ¨-e;kalap;e Digitalkamera, s;digitális kamera;s Dessert, s;desszert;gehören;vki/vmi - hoz tartozni;;;;;;;;;;
146;r Schal, s;sál;e Wohngemeinschaft, en / e WG, s;közös lakás;r/s Ketchup, s;ketchup;mitarbeiten;együtt dolgozni;;;;;;;;;;
147;r Mantel, ¨-;kabát;e Küche, n;konyha;s Stück, e;darab;ein Gymnasium besuchen;gimnáziumba járni ;;;;;;;;;;
148;r Sprachkurs, e;nyelvtanfolyam;e Mediennutzung;médiahasználat;s Paar, e;pár;an der Rezeption arbeiten;a recepción dolgozni;;;;;;;;;;
149;r Beruf, e;szakma;e Klamotten;ruha cuccok;r/s Kilo, ~/s;kiló;zeigen;mutatni;;;;;;;;;;
150;r Universität, e, en / Uni, s;egyetem;e Modenschau, en;divatbemutató;s Würstchen, ~;virsli;klingeln;csörögni;;;;;;;;;;
151;r Wein, e;bor;e Krawatte, n;nyakkendő;s Debreziner Würstchen, ~;debreceni virsli;bestellen;rendelni / megrendelni;;;;;;;;;;
152;r Journalist, en;újságíró;e Jeans;farmer;s Glas, ¨-er;pohár;zu Mittag essen;ebédelni;;;;;;;;;;
153;r Haushalt, e;háztartás;e Hose, n;nadrág;s Spiegelei, er;tükörtojás;zu Abend essen;vacsorázni;;;;;;;;;;
154;r Luxus;luxus;e Bluse, n;blúz;s Rührei, er;rántotta;pulsieren;lüktetni / pulzálni;;;;;;;;;;
155;r Lederschuh;bőrcipő;e Jacke, n;rövid-kabát/dzseki;s Gewürz, e;fűszer;besorgen;beszerezni;;;;;;;;;;
156;r Rhein;Rajna;e Mütze, n;sapka;s Hauptgericht, e;főétel;laden;hívogatni;;;;;;;;;;
157;r Main;Majna;e Schülerzeitung, en;iskolaújság;s Rezept, e;recept;akzeptieren;elfogadni;;;;;;;;;;
158;r Schlüssel, ~;kulcs;e Markenklamotten;márkás termék;s Jahrhundert, e;évszázad;werden;valamilyenné válni;;;;;;;;;;
159;r Gaskocher, ~;gázrezsó;e Kleidung, en;ruházat;s Kuntswerk, e;műalkotás;fahren;utazni (rövid/hosszú távú);;;;;;;;;;
160;r Schlafsack, ¨-e;alvózsák;e Farbe, n;szín;s Basilikum, s/en;bazsalikom;reisen;utazni (hosszú távú);;;;;;;;;;
161;r Kamm, ¨-e;fésű;e Sprachschule, n;nyelviskola;s Rindfleisch;marhahús;Hunger haben;éhséggel rendelkezni;;;;;;;;;;
162;r Badeanzug, ¨-e;fürdőruha;e Kultur, en;kultúra;s Fast Food;gyorsétel;hungrig sein;éhes lenni;;;;;;;;;;
163;r Bikini, s;bikini;e Journalistin, nen;újságírónő;s Gramm;gramm;auf dem Markt arbeiten;a piacon dolgozni;;;;;;;;;;
164;r Regenmantel, ¨-;esőkabát;e Oper, n;opera;r/s Gulasch;gulyás / pörkölt;alle sein;elfogyva lenni;;;;;;;;;;
165;r Verleih, e;kölcsönző;e Heimat;haza;s Nationalgetränk, e;nemzeti ital;eine Diät machen;diétázni;;;;;;;;;;
